Moisture,pH,EC,N,P,K,Soil_Type,N_Class,P_Class,K_Class,Soil_Temperature
19.13,7.88,2.17,87.09,62.28,42.37,Sandy,High,High,Medium,25.1
9.25,6.71,2.14,85.43,30.45,75.98,Sandy,High,Medium,High,33.93
33.64,6.94,2.05,49.07,58.66,69.41,Silty,Medium,High,High,30.93
53.31,6.33,2.03,48.96,66.52,44.23,Clay,Medium,High,Medium,24.45
15.51,7.52,1.28,26.01,39.88,44.96,Sandy,Low,Medium,Medium,26.23
68.66,7.39,2.38,46.49,65.43,65.72,Peaty,Medium,High,High,29.37
47.95,7.88,2.28,99.38,40.32,42.98,Clay,High,Medium,Medium,22.14
64.98,5.04,2.05,51.13,35.13,41.65,Peaty,Medium,Medium,Medium,28.65
41.25,5.91,2.04,79.99,62.5,34.53,Clay,High,High,Low,30.24
58.4,7.16,2.47,67.53,43.07,72.38,Peaty,Medium,Medium,High,25.76
53.57,7.57,1.56,21.35,17.51,65.46,Silty,Low,Low,High,25.39
38.96,7.6,1.47,50.52,34.74,27.51,Silty,Medium,Medium,Low,28.04
35.71,6.85,1.67,26.57,21.72,65.42,Clay,Low,Low,High,23.71
74.09,6.8,1.96,33.29,52.98,37.28,Peaty,Low,High,Medium,23.85
12.36,6.71,1.61,24.57,64.25,46.3,Sandy,Low,High,Medium,35.04
34.7,6.8,1.94,41.73,54.99,37.61,Loamy,Medium,High,Medium,24.17
65.12,6.79,2.34,44.68,45.04,77.21,Peaty,Medium,Medium,High,28.99
10.5,6.13,1.77,30.61,38.89,87.92,Sandy,Low,Medium,High,30.2
33.53,7.2,2.29,76.8,48.21,75.73,Clay,High,Medium,High,22.28
46.96,7.13,2.06,55.76,11.58,74.86,Silty,Medium,Low,High,26.98
63.27,7.73,1.9,43.75,11.83,53.79,Clay,Medium,Low,Medium,27.43
9.72,5.47,1.74,48.36,45.35,56.21,Sandy,Medium,Medium,Medium,26.72
28.13,5.59,2.03,55.75,36.42,84.51,Silty,Medium,Medium,High,29.9
13.55,5.96,0.89,20.39,31.09,15.14,Sandy,Low,Medium,Low,32.14
35.54,6.58,2.33,83.47,65.74,40.07,Silty,High,High,Medium,27.36
60.27,5.05,2.45,83.57,38.6,82.21,Clay,High,Medium,High,22.3
31.29,7.06,1.59,30.31,46.43,47.67,Loamy,Low,Medium,Medium,28.24
59.8,5.27,1.96,51.03,12.2,43.37,Peaty,Medium,Low,Medium,27.31
64.95,5.88,2.86,74.65,67.56,70.41,Peaty,High,High,High,24.99
17.92,5.6,1.79,66.96,47.69,19.55,Sandy,Medium,Medium,Low,25.36
47.59,5.31,2.36,81.63,58.8,64.6,Clay,High,High,Medium,26.53
27.5,6.93,1.32,47.26,20.48,36.06,Silty,Medium,Low,Medium,28.5
39.29,5.7,2.71,82.63,49.14,88.98,Clay,High,Medium,High,23.87
46.32,5.44,2.05,60.31,34.13,74.2,Peaty,Medium,Medium,High,24.21
48.73,6.8,2.54,85.59,66.13,66.52,Peaty,High,High,High,23.01
53.44,5.78,2.35,53.66,34.59,78.82,Silty,Medium,Medium,High,27.14
51.77,7.73,2.48,36.43,68.98,81.04,Clay,Low,High,High,22.1
31.93,7.14,1.79,57.03,13.53,48.19,Clay,Medium,Low,Medium,29.71
33.38,5.86,2.18,86.82,24.14,80.94,Silty,High,Low,High,28.76
36.17,6.7,1.55,46.64,19.17,47.39,Silty,Medium,Low,Medium,27.66
46.63,7.06,2.39,46.12,44.72,81.15,Peaty,Medium,Medium,High,21.35
31.21,5.4,1.21,32.36,31.84,21.95,Silty,Low,Medium,Low,31.22
39.94,6.99,2.5,99.31,15.68,86.38,Loamy,High,Low,High,23.92
68.62,6.7,2.47,62.36,68.02,45.98,Peaty,Medium,High,Medium,24.57
17.72,6.25,2.05,73.42,12.89,79.41,Sandy,High,Low,High,37.59
59.14,5.7,1.99,69.7,15.6,53.58,Clay,Medium,Low,Medium,24.79
55.46,6.12,2.3,86.9,38.84,23.54,Clay,High,Medium,Low,22.33
33.09,5.24,1.39,22.57,57.22,23.01,Silty,Low,High,Low,31.43
47.55,5.81,1.8,83.18,28.92,30.6,Clay,High,Medium,Low,25.83
60.49,5.69,2.12,59.53,11.03,56.66,Peaty,Medium,Low,Medium,22.2
74.2,6.74,1.78,23.3,60.47,17.79,Peaty,Low,High,Low,29.44
32.55,7.38,2.04,30.89,56.9,66.44,Silty,Low,High,High,31.94
43.12,6.58,2.01,36.53,64.55,44.96,Silty,Low,High,Medium,33.4
19.0,7.7,1.51,39.14,35.94,54.5,Sandy,Low,Medium,Medium,36.74
29.83,5.52,2.3,88.05,54.29,48.03,Silty,High,High,Medium,32.98
48.91,7.86,2.19,54.22,65.78,24.74,Peaty,Medium,High,Low,26.81
51.8,6.75,2.42,99.62,60.13,29.89,Clay,High,High,Low,31.92
38.92,5.59,2.01,66.93,59.05,17.79,Silty,Medium,High,Low,28.73
47.65,7.09,1.94,55.65,44.69,27.21,Clay,Medium,Medium,Low,28.74
19.66,6.65,2.01,71.54,27.42,82.34,Loamy,High,Medium,High,28.1
61.35,6.71,2.51,75.04,31.61,79.2,Clay,High,Medium,High,23.31
42.11,6.51,1.88,82.89,19.8,21.15,Loamy,High,Low,Low,23.34
31.35,7.92,1.73,40.43,14.77,78.21,Loamy,Medium,Low,High,25.19
27.99,5.74,2.03,55.55,63.59,42.79,Loamy,Medium,High,Medium,24.75
42.42,6.48,2.21,68.46,30.07,75.36,Silty,Medium,Medium,High,30.05
50.68,5.51,2.59,81.41,61.64,73.46,Clay,High,High,High,29.23
48.19,5.87,2.38,30.17,67.53,85.15,Silty,Low,High,High,30.73
32.55,6.83,1.9,89.43,43.49,19.43,Loamy,High,Medium,Low,24.07
35.88,6.65,1.83,89.8,35.42,23.13,Silty,High,Medium,Low,27.72
41.7,5.74,2.36,96.7,32.74,54.96,Loamy,High,Medium,Medium,26.35
29.09,6.2,1.85,23.06,52.03,71.93,Loamy,Low,High,High,29.12
30.87,5.58,2.25,73.68,39.17,63.89,Silty,High,Medium,Medium,31.41
48.05,6.17,2.33,50.7,64.22,49.48,Silty,Medium,High,Medium,24.02
51.17,5.65,2.16,30.75,58.35,66.93,Clay,Low,High,High,28.51
41.02,6.83,1.43,46.37,10.93,37.92,Loamy,Medium,Low,Medium,28.12
26.49,7.71,1.97,77.52,28.78,65.55,Silty,High,Medium,High,30.47
41.55,6.07,1.11,35.25,17.02,17.19,Peaty,Low,Low,Low,25.57
26.16,5.42,1.94,58.43,67.75,21.1,Loamy,Medium,High,Low,23.49
72.78,6.02,2.21,48.54,52.82,51.4,Peaty,Medium,High,Medium,29.49
54.82,7.41,2.35,56.94,52.87,76.75,Silty,Medium,High,High,32.0
44.22,6.49,2.23,30.14,66.81,70.23,Loamy,Low,High,High,32.54
32.46,6.85,2.26,85.71,35.37,70.29,Silty,High,Medium,High,29.44
12.28,6.63,2.08,87.93,36.66,61.93,Sandy,High,Medium,Medium,27.27
41.95,5.53,1.78,42.99,47.05,35.05,Silty,Medium,Medium,Medium,27.33
33.48,7.15,1.42,21.85,56.88,32.2,Loamy,Low,High,Low,26.95
42.72,6.84,1.29,40.8,27.53,15.39,Peaty,Medium,Medium,Low,28.9
26.21,5.82,2.16,80.88,46.52,54.61,Silty,High,Medium,Medium,33.98
37.28,7.0,2.12,90.78,15.03,58.43,Clay,High,Low,Medium,29.58
52.25,5.62,2.44,99.47,14.49,71.18,Silty,High,Low,High,25.4
68.48,5.36,1.66,25.74,23.32,36.73,Peaty,Low,Low,Medium,25.51
24.5,6.82,2.01,67.86,28.67,75.61,Sandy,Medium,Medium,High,29.11
17.06,7.47,1.27,40.0,46.51,17.96,Sandy,Low,Medium,Low,37.78
34.08,6.59,1.51,47.32,21.44,34.76,Loamy,Medium,Low,Low,25.05
33.55,6.46,1.99,55.54,24.2,76.51,Loamy,Medium,Low,High,28.48
61.42,5.17,2.38,87.83,45.79,64.77,Peaty,High,Medium,Medium,28.82
25.35,6.37,2.09,87.08,22.58,68.35,Loamy,High,Low,High,25.27
49.36,5.98,2.25,94.85,23.94,44.71,Silty,High,Low,Medium,30.41
64.11,6.28,1.99,36.8,57.8,38.71,Clay,Low,High,Medium,28.52
55.05,6.84,3.02,99.3,60.4,88.1,Clay,High,High,High,26.31
42.88,6.21,1.77,28.03,23.28,88.41,Loamy,Low,Low,High,30.88
66.94,6.38,2.67,97.88,60.43,27.68,Peaty,High,High,Low,22.75
26.73,6.9,1.43,59.63,30.5,30.19,Loamy,Medium,Medium,Low,29.96
64.4,7.8,2.85,77.36,61.58,68.92,Peaty,High,High,High,21.52
50.89,5.84,2.35,47.65,56.4,72.61,Silty,Medium,High,High,31.45
41.12,6.09,1.7,27.05,54.27,17.55,Clay,Low,High,Low,22.78
32.04,5.51,2.26,71.06,69.41,77.55,Silty,High,High,High,27.59
22.26,6.38,2.13,79.11,34.25,71.94,Loamy,High,Medium,High,32.14
47.83,6.84,2.3,76.93,45.79,67.68,Silty,High,Medium,High,27.03
19.84,6.45,1.95,96.65,44.24,31.64,Loamy,High,Medium,Low,24.87
26.96,6.41,1.98,71.68,24.22,58.09,Sandy,High,Low,Medium,27.0
45.86,6.55,2.18,56.83,41.72,65.27,Silty,Medium,Medium,High,24.64
56.51,7.46,2.41,75.07,27.19,77.59,Clay,High,Medium,High,28.59
11.29,6.14,2.07,82.74,49.24,54.45,Sandy,High,Medium,Medium,34.22
57.87,7.25,2.09,66.81,23.46,44.12,Peaty,Medium,Low,Medium,26.05
49.95,7.26,2.35,92.28,13.66,86.62,Clay,High,Low,High,27.73
49.75,5.64,1.98,91.43,23.13,44.18,Silty,High,Low,Medium,28.59
52.6,5.71,2.4,74.85,15.47,84.0,Peaty,High,Low,High,27.17
36.58,6.26,1.79,22.35,53.04,68.76,Silty,Low,High,High,26.24
35.89,6.87,1.2,20.76,15.7,30.05,Clay,Low,Low,Low,30.99
15.16,7.03,2.1,55.34,65.46,54.3,Sandy,Medium,High,Medium,30.21
32.04,6.6,2.07,48.29,57.77,63.73,Silty,Medium,High,Medium,32.54
62.34,5.91,2.34,53.71,37.95,64.54,Clay,Medium,Medium,Medium,29.98
15.48,6.21,1.82,97.83,26.63,38.12,Sandy,High,Medium,Medium,30.23
53.52,6.61,2.19,84.42,52.16,22.79,Silty,High,High,Low,33.49
47.37,7.73,2.01,67.44,40.04,49.8,Silty,Medium,Medium,Medium,27.76
22.89,7.03,1.49,37.11,13.0,50.25,Loamy,Low,Low,Medium,32.6
68.38,7.16,2.24,70.26,45.36,35.42,Peaty,High,Medium,Medium,22.74
39.04,7.69,2.05,66.92,69.51,22.79,Loamy,Medium,High,Low,27.25
17.05,7.24,1.74,45.35,58.27,40.11,Sandy,Medium,High,Medium,26.15
14.37,5.48,1.34,84.13,21.89,17.75,Sandy,High,Low,Low,36.89
46.25,5.57,2.53,97.15,52.02,58.53,Peaty,High,High,Medium,20.54
40.53,6.93,2.78,97.89,69.99,77.13,Silty,High,High,High,32.9
51.02,5.1,1.87,61.51,47.67,19.56,Silty,Medium,Medium,Low,25.75
58.32,6.29,1.96,26.14,48.12,66.8,Clay,Low,Medium,High,29.16
45.43,7.26,1.65,29.61,24.27,63.41,Peaty,Low,Low,Medium,25.0
17.64,6.05,1.7,55.49,20.56,87.86,Sandy,Medium,Low,High,31.49
71.13,7.82,1.77,34.67,44.45,32.84,Peaty,Low,Medium,Low,20.85
59.98,7.42,1.69,23.45,16.96,67.89,Peaty,Low,Low,High,25.14
52.9,6.19,1.88,37.34,35.51,49.29,Peaty,Low,Medium,Medium,21.52
32.71,6.89,2.07,81.89,66.4,45.36,Clay,High,High,Medium,26.96
39.0,7.07,2.37,72.44,57.33,55.46,Silty,High,High,Medium,27.34
31.17,6.2,2.07,80.29,27.48,50.58,Loamy,High,Medium,Medium,27.92
45.71,7.16,2.27,61.28,54.92,61.41,Peaty,Medium,High,Medium,27.4
41.73,5.88,2.49,34.93,67.38,89.15,Silty,Low,High,High,27.19
47.87,7.03,1.6,23.09,68.36,18.75,Silty,Low,High,Low,28.24
62.11,7.49,2.28,50.2,54.51,37.63,Peaty,Medium,High,Medium,24.23
60.0,7.37,2.16,73.84,37.64,47.68,Clay,High,Medium,Medium,22.07
12.86,5.49,2.03,79.76,43.81,50.42,Sandy,High,Medium,Medium,26.41
13.1,5.31,1.38,49.35,43.9,29.23,Sandy,Medium,Medium,Low,35.29
16.31,5.66,1.66,57.52,55.83,47.01,Sandy,Medium,High,Medium,25.09
26.93,5.83,0.98,28.69,16.08,15.57,Sandy,Low,Low,Low,37.21
59.41,7.53,2.59,78.54,59.32,60.79,Clay,High,High,Medium,22.76
21.7,6.59,1.62,55.55,37.14,22.79,Loamy,Medium,Medium,Low,32.16
42.01,6.67,2.34,85.66,57.03,40.71,Clay,High,High,Medium,31.37
8.5,5.2,1.73,20.47,43.5,79.3,Sandy,Low,Medium,High,36.71
40.92,5.6,1.65,67.54,24.81,25.37,Silty,Medium,Low,Low,27.18
32.82,6.2,2.02,45.72,24.05,73.35,Loamy,Medium,Low,High,25.82
54.57,7.11,2.13,56.39,43.96,55.72,Clay,Medium,Medium,Medium,24.82
18.56,7.07,1.97,31.59,53.38,82.37,Sandy,Low,High,High,33.33
13.26,5.83,1.43,60.34,17.81,36.09,Sandy,Medium,Low,Medium,27.21
24.84,6.82,1.17,27.5,49.56,19.96,Sandy,Low,Medium,Low,34.77
48.33,7.45,1.64,21.06,53.4,34.3,Peaty,Low,High,Low,25.29
46.31,7.55,2.14,98.0,38.36,37.72,Silty,High,Medium,Medium,24.93
18.71,6.04,2.09,89.77,31.51,64.61,Loamy,High,Medium,Medium,27.71
40.86,7.93,1.76,58.29,18.55,34.28,Loamy,Medium,Low,Low,28.37
32.93,6.79,2.22,44.48,45.85,88.0,Clay,Medium,Medium,High,27.81
49.86,5.07,2.31,51.3,42.32,70.95,Peaty,Medium,Medium,High,27.32
24.04,5.65,1.63,56.59,28.57,23.32,Loamy,Medium,Medium,Low,23.52
48.4,5.31,2.19,90.88,49.09,30.89,Silty,High,Medium,Low,28.4
53.04,6.47,2.62,93.04,28.62,82.07,Silty,High,Medium,High,33.36
23.33,5.28,2.56,93.99,63.21,84.67,Loamy,High,High,High,30.71
39.46,7.92,2.66,77.48,65.26,84.24,Loamy,High,High,High,25.33
50.84,7.19,1.85,55.18,33.44,35.91,Silty,Medium,Medium,Medium,28.85
64.79,6.67,1.44,22.4,15.32,28.49,Peaty,Low,Low,Low,24.9
43.3,5.14,2.24,80.46,59.52,56.64,Clay,High,High,Medium,31.22
59.1,5.83,2.56,83.79,35.02,69.77,Clay,High,Medium,High,23.65
39.31,5.94,2.03,56.93,69.43,52.48,Loamy,Medium,High,Medium,31.79
10.84,7.37,1.15,47.21,18.48,36.65,Sandy,Medium,Low,Medium,25.45
59.52,5.9,1.56,46.4,15.26,38.97,Peaty,Medium,Low,Medium,24.32
43.03,7.82,1.87,43.84,28.38,88.56,Peaty,Medium,Medium,High,21.37
60.09,7.85,2.08,52.09,45.31,35.1,Clay,Medium,Medium,Medium,25.97
12.96,6.71,1.88,83.5,50.58,35.03,Sandy,High,High,Medium,30.87
47.64,5.48,1.79,49.13,13.76,49.92,Peaty,Medium,Low,Medium,21.57
25.32,7.64,1.78,30.49,50.33,57.18,Sandy,Low,High,Medium,26.79
45.31,7.76,2.19,82.82,47.48,33.39,Peaty,High,Medium,Low,22.04
53.81,6.21,2.33,35.65,63.7,56.72,Peaty,Low,High,Medium,25.16
69.51,5.45,2.19,20.7,63.71,45.53,Peaty,Low,High,Medium,23.86
49.24,6.84,2.75,87.28,59.53,73.66,Clay,High,High,High,26.23
50.9,5.09,1.7,22.0,24.47,73.78,Clay,Low,Low,High,29.45
9.21,5.18,1.49,33.46,39.61,46.01,Sandy,Low,Medium,Medium,28.59
53.77,6.65,1.88,38.74,12.14,66.55,Clay,Low,Low,High,24.95
62.9,5.48,2.03,24.03,47.82,79.97,Peaty,Low,Medium,High,21.51
40.6,6.99,2.07,43.62,62.02,41.94,Peaty,Medium,High,Medium,28.14
49.03,7.47,2.12,76.82,22.38,75.67,Peaty,High,Low,High,23.49
68.23,6.66,2.25,47.73,62.31,56.59,Peaty,Medium,High,Medium,25.63
24.38,6.27,1.52,73.75,20.55,19.5,Sandy,High,Low,Low,33.12
15.07,7.0,1.83,89.6,67.7,17.24,Sandy,High,High,Low,32.47
31.79,6.35,1.57,31.43,50.1,44.07,Loamy,Low,High,Medium,32.55
63.98,7.21,2.52,78.14,56.5,52.08,Peaty,High,High,Medium,24.31
47.9,6.22,2.15,49.55,35.94,70.69,Silty,Medium,Medium,High,24.55
60.72,5.91,2.05,43.66,26.33,85.13,Peaty,Medium,Medium,High,23.28
34.95,6.96,2.16,77.33,17.05,65.01,Silty,High,Low,High,26.52
27.25,7.6,1.31,42.22,28.64,16.9,Loamy,Medium,Medium,Low,28.45
22.89,6.4,1.7,51.5,31.37,46.25,Sandy,Medium,Medium,Medium,36.8
52.3,7.68,1.77,36.29,20.51,68.87,Silty,Low,Low,High,27.41
64.86,7.84,1.48,26.79,25.31,21.94,Peaty,Low,Medium,Low,21.92
67.3,5.36,1.71,31.49,19.42,25.35,Peaty,Low,Low,Low,29.52
19.88,6.78,2.17,93.23,58.09,46.36,Loamy,High,High,Medium,31.72
25.98,5.23,1.93,63.76,30.96,62.62,Silty,Medium,Medium,Medium,31.01
12.42,7.02,1.15,35.84,12.86,55.33,Sandy,Low,Low,Medium,33.71
54.32,5.93,2.3,57.25,15.6,85.39,Silty,Medium,Low,High,33.28
57.0,7.01,1.52,30.86,12.58,36.05,Peaty,Low,Low,Medium,28.29
22.1,6.75,2.06,99.75,50.68,52.38,Sandy,High,High,Medium,35.06
27.01,6.9,1.67,36.16,47.59,61.53,Loamy,Low,Medium,Medium,24.33
63.39,6.38,2.14,63.47,63.91,28.66,Peaty,Medium,High,Low,20.36
68.11,5.1,2.69,89.47,56.01,61.09,Peaty,High,High,Medium,27.04
25.36,6.78,1.74,63.64,39.51,37.46,Silty,Medium,Medium,Medium,29.18
62.8,5.99,2.12,38.47,53.56,67.32,Peaty,Low,High,High,28.08
52.77,5.38,2.26,29.02,67.09,57.21,Silty,Low,High,Medium,25.81
40.34,5.72,2.17,75.29,41.4,78.61,Loamy,High,Medium,High,27.54
27.78,6.09,2.22,71.8,64.56,83.47,Silty,High,High,High,25.23
56.89,7.22,2.34,43.86,52.53,65.24,Peaty,Medium,High,High,28.55
44.21,6.58,2.17,45.37,37.62,83.24,Loamy,Medium,Medium,High,23.04
46.77,5.58,2.26,36.94,63.66,54.9,Clay,Low,High,Medium,27.38
41.33,5.51,1.57,44.62,61.99,16.81,Peaty,Medium,High,Low,27.62
14.55,7.83,1.91,72.82,34.61,69.82,Sandy,High,Medium,High,26.77
72.85,7.41,2.74,89.72,19.42,84.9,Peaty,High,Low,High,24.55
28.18,6.49,2.22,80.01,65.34,59.15,Loamy,High,High,Medium,26.74
65.88,6.82,2.15,53.22,59.47,26.31,Peaty,Medium,High,Low,23.13
38.57,7.09,1.8,34.11,23.18,62.05,Silty,Low,Low,Medium,28.6
26.11,5.51,1.55,92.4,17.99,21.09,Sandy,High,Low,Low,33.42
50.9,7.25,1.64,39.5,28.14,21.52,Silty,Low,Medium,Low,28.84
46.82,6.85,2.05,35.51,67.97,38.84,Clay,Low,High,Medium,24.86
19.57,6.92,1.94,71.41,51.22,67.78,Sandy,High,High,High,25.17
46.23,5.58,1.89,64.16,14.47,64.73,Clay,Medium,Low,Medium,25.96
32.63,7.45,2.49,94.83,60.97,76.78,Silty,High,High,High,27.51
60.75,5.01,2.48,77.11,16.15,84.24,Clay,High,Low,High,24.89
21.17,5.99,2.18,80.22,48.05,56.4,Sandy,High,Medium,Medium,36.28
43.99,6.55,1.68,59.76,19.93,22.11,Clay,Medium,Low,Low,25.97
46.95,7.36,2.39,63.09,67.89,67.79,Silty,Medium,High,High,30.81
27.56,7.65,2.18,70.93,43.11,60.7,Sandy,High,Medium,Medium,27.11
41.74,5.13,2.53,56.23,65.15,73.57,Silty,Medium,High,High,23.25
46.44,6.28,2.51,94.56,62.17,75.53,Silty,High,High,High,31.58
40.33,5.91,1.86,51.12,45.24,19.46,Silty,Medium,Medium,Low,29.83
41.41,5.21,1.75,45.21,55.82,36.29,Clay,Medium,High,Medium,26.37
52.5,7.66,2.04,27.49,31.63,88.9,Clay,Low,Medium,High,30.01
57.44,6.27,1.88,31.08,27.64,51.83,Clay,Low,Medium,Medium,28.84
12.85,6.33,2.18,95.19,65.89,39.15,Sandy,High,High,Medium,32.38
13.25,5.73,1.76,67.49,17.38,75.54,Sandy,Medium,Low,High,37.05
55.57,6.19,2.06,43.55,37.71,70.02,Clay,Medium,Medium,High,24.05
71.8,5.28,2.38,73.78,22.64,59.15,Peaty,High,Low,Medium,27.3
34.29,5.37,1.63,22.59,29.63,65.92,Clay,Low,Medium,High,24.85
62.67,6.34,2.81,96.78,32.07,83.72,Clay,High,Medium,High,27.03
41.54,6.59,1.91,61.85,27.0,65.13,Peaty,Medium,Medium,High,22.5
52.19,6.91,2.08,70.21,69.04,25.4,Silty,High,High,Low,33.75
59.02,7.09,1.84,45.6,44.35,30.01,Peaty,Medium,Medium,Low,25.8
33.38,5.68,2.25,60.91,47.56,72.58,Silty,Medium,Medium,High,25.99
46.12,5.4,2.52,62.1,64.05,74.88,Silty,Medium,High,High,33.14
47.38,5.23,2.24,58.87,44.58,69.69,Silty,Medium,Medium,High,28.18
37.88,6.31,2.36,73.15,58.43,68.72,Silty,High,High,High,31.9
43.54,7.79,2.07,44.3,33.12,72.94,Loamy,Medium,Medium,High,30.55
22.35,6.72,1.8,25.88,61.96,83.61,Sandy,Low,High,High,36.24
50.88,6.2,2.12,53.82,27.24,63.27,Peaty,Medium,Medium,Medium,22.19
44.82,5.65,2.18,75.07,69.55,41.37,Silty,High,High,Medium,30.24
47.86,6.72,2.28,95.66,13.31,77.33,Peaty,High,Low,High,29.34
36.19,6.82,1.92,32.21,65.11,43.77,Silty,Low,High,Medium,28.45
29.32,6.37,1.84,21.29,58.21,87.21,Silty,Low,High,High,30.97
63.35,6.68,2.29,25.27,63.52,58.75,Clay,Low,High,Medium,31.88
22.45,5.34,1.57,30.21,41.9,42.36,Loamy,Low,Medium,Medium,31.56
32.24,7.92,2.19,63.63,52.12,82.27,Clay,Medium,High,High,28.8
44.65,6.69,2.02,31.79,49.34,62.83,Peaty,Low,Medium,Medium,27.52
50.62,6.88,1.49,31.66,28.37,21.04,Silty,Low,Medium,Low,32.24
51.49,5.16,2.02,63.3,49.89,54.04,Clay,Medium,Medium,Medium,27.24
36.27,7.59,1.87,61.06,51.23,38.14,Loamy,Medium,High,Medium,32.03
44.58,6.97,1.45,24.97,33.99,22.22,Silty,Low,Medium,Low,26.92
45.24,6.11,1.94,55.93,50.27,46.76,Silty,Medium,High,Medium,26.74
54.49,6.61,2.37,94.8,17.6,49.96,Clay,High,Low,Medium,25.71
54.68,5.91,1.51,35.08,32.55,17.81,Peaty,Low,Medium,Low,28.64
43.54,5.52,1.81,20.09,44.29,82.38,Loamy,Low,Medium,High,24.24
10.47,6.79,2.09,92.54,66.93,47.12,Sandy,High,High,Medium,36.36
74.6,5.85,2.1,27.31,14.07,63.4,Peaty,Low,Low,Medium,27.12
36.56,7.49,1.87,25.4,62.33,54.89,Loamy,Low,High,Medium,26.03
24.67,5.67,1.94,83.92,12.28,68.53,Sandy,High,Low,High,30.74
47.81,5.03,2.24,88.38,53.79,42.35,Peaty,High,High,Medium,26.22
50.6,6.09,1.75,53.9,16.27,22.92,Clay,Medium,Low,Low,25.08
24.59,7.14,1.5,55.06,22.7,18.81,Sandy,Medium,Low,Low,25.32
35.7,5.56,2.22,65.04,58.07,84.29,Clay,Medium,High,High,28.32
32.09,5.78,1.6,36.77,63.94,37.11,Loamy,Low,High,Medium,29.01
25.55,6.56,1.44,67.38,15.05,18.79,Sandy,Medium,Low,Low,37.97
59.06,6.07,1.62,34.38,18.59,22.88,Clay,Low,Low,Low,28.85
29.84,7.19,2.0,68.65,36.52,64.15,Silty,Medium,Medium,Medium,30.57
52.7,6.37,2.35,93.81,57.93,27.79,Silty,High,High,Low,25.62
17.92,5.64,2.16,83.9,68.07,70.29,Sandy,High,High,High,33.1
16.78,7.75,2.12,79.18,35.35,71.3,Sandy,High,Medium,High,30.77
34.8,5.17,2.13,82.58,10.68,76.46,Loamy,High,Low,High,30.17
29.41,6.38,1.49,53.64,21.26,45.46,Silty,Medium,Low,Medium,25.5
22.46,7.57,2.12,69.92,38.58,70.05,Sandy,Medium,Medium,High,26.13
25.48,5.41,1.83,56.28,15.33,62.89,Sandy,Medium,Low,Medium,37.26
70.51,7.17,2.22,40.22,62.12,57.06,Peaty,Medium,High,Medium,20.59
51.17,5.66,2.36,84.4,18.02,62.85,Silty,High,Low,Medium,29.39
35.39,7.6,1.94,55.2,60.28,55.08,Silty,Medium,High,Medium,26.94
17.03,7.6,1.49,89.85,13.31,27.78,Sandy,High,Low,Low,32.38
38.33,5.07,2.35,91.53,48.5,69.84,Silty,High,Medium,High,33.2
26.09,7.96,1.58,24.69,36.15,78.61,Silty,Low,Medium,High,27.28
52.68,6.75,2.13,28.43,62.05,82.75,Clay,Low,High,High,25.66
27.99,7.4,2.27,62.92,65.63,83.06,Silty,Medium,High,High,32.57
53.8,6.91,1.93,46.59,26.36,52.08,Silty,Medium,Medium,Medium,30.63
51.74,6.52,2.05,58.77,22.16,77.41,Clay,Medium,Low,High,26.3
27.21,7.19,1.34,41.5,43.74,20.8,Silty,Medium,Medium,Low,24.91
32.48,6.13,1.82,48.95,57.96,52.57,Loamy,Medium,High,Medium,25.07
42.27,6.79,1.71,66.1,22.82,38.76,Silty,Medium,Low,Medium,31.15
30.37,7.3,1.6,54.9,29.11,37.07,Silty,Medium,Medium,Medium,33.61
42.84,6.68,1.45,25.53,19.74,28.31,Silty,Low,Low,Low,26.35
59.89,7.98,1.79,46.55,19.19,55.77,Peaty,Medium,Low,Medium,29.79
42.26,6.61,2.21,78.91,57.41,41.28,Clay,High,High,Medium,23.14
58.05,5.73,2.3,88.22,48.0,50.69,Peaty,High,Medium,Medium,23.65
12.78,6.1,1.82,88.6,17.63,64.09,Sandy,High,Low,Medium,34.19
56.32,5.48,1.55,40.51,13.18,23.93,Peaty,Medium,Low,Low,24.18
23.09,5.41,1.86,54.94,28.53,57.59,Sandy,Medium,Medium,Medium,33.94
11.58,6.96,1.73,31.17,31.79,88.05,Sandy,Low,Medium,High,33.24
27.79,6.59,2.09,99.64,20.26,67.17,Loamy,High,Low,High,26.46
40.91,7.77,1.91,71.74,13.31,64.04,Clay,High,Low,Medium,23.77
62.85,7.15,2.47,85.41,43.29,78.11,Clay,High,Medium,High,26.39
24.79,6.63,1.72,72.21,15.95,46.85,Loamy,High,Low,Medium,28.15
26.62,7.23,1.61,62.49,25.14,33.36,Silty,Medium,Medium,Low,24.15
30.9,6.63,1.61,43.56,30.47,38.75,Clay,Medium,Medium,Medium,23.4
43.6,5.59,2.14,71.03,67.21,48.87,Clay,High,High,Medium,24.34
44.04,7.62,2.3,60.23,51.4,56.82,Loamy,Medium,High,Medium,25.39
20.15,5.58,1.65,66.35,17.05,73.86,Sandy,Medium,Low,High,33.12
27.68,7.23,1.45,28.92,41.96,15.03,Sandy,Low,Medium,Low,27.3
54.98,6.85,1.85,44.2,13.96,40.84,Clay,Medium,Low,Medium,28.88
60.41,6.42,2.8,92.66,41.84,70.97,Peaty,High,Medium,High,28.63
20.89,5.15,1.81,67.96,36.69,71.48,Sandy,Medium,Medium,High,26.71
46.88,7.12,2.28,76.57,32.78,57.68,Silty,High,Medium,Medium,31.05
